name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Allen Solly Men's Regular Fit Polo,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/71eUwDk8z+L._AC_UL320_.jpg,https://www.amazon.in/Allen-Solly-Regular-AMKP317G04249_Jet-Black_X-Large/dp/B06Y2CH63N/ref=sr_1_5?qid=1679139859&s=apparel&sr=1-5,4.1,60020,590,1099
Van Heusen Men's Regular Fit Polo Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/71ISzvgAl2L._AC_UL320_.jpg,https://www.amazon.in/Van-Heusen-Solid-Regular-VSKP517S011419_Nautical_X-Large/dp/B076CNJ1YN/ref=sr_1_6?qid=1679139859&s=apparel&sr=1-6,4.0,28727,550,1099
Scott International Men's Regular Fit T-Shirt (Pack of 3),men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/71HBNT3R66L._AC_UL320_.jpg,https://www.amazon.in/Scott-International-SS20-3RN-BU-GR-CH-L_Navy-Charcoal-Grey_Large/dp/B084L9DK9H/ref=sr_1_7?qid=1679139859&s=apparel&sr=1-7,3.7,36734,523,2397
TOPLOT T-Shirt for Men||T Shirt||White T-Shirt for Men||T-Shirt for Boys||Regular Fit T-Shirt for Mens||T Shirt for Men||t...,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/71GITfTSeRL._AC_UL320_.jpg,https://www.amazon.in/TOPLOT-T-Shirt-Regular-Printed-Mens-T-shirt-5056-L/dp/B0BVR55TJN/ref=sr_1_8?qid=1679139859&s=apparel&sr=1-8,4.5,51,299,1999
Amazon Brand - Symbol Men's Regular Polo Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/51K0XmUVDPL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Symbol-Regular-AW17MPCP1_XL_Jet/dp/B073X33F5X/ref=sr_1_9?qid=1679139859&s=apparel&sr=1-9,3.9,21352,309,1099
LEOTUDE Women's Cottonblend Half Sleeve Oversized T-Shirts (Color: Orange),men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/61bzvKukDhL._AC_UL320_.jpg,https://www.amazon.in/LEOTUDE-Oversize-Round-T-Shirt-GRL_FS49_ORNG_Groovy_P_Orange1_M/dp/B0BRJG86X7/ref=sr_1_10?qid=1679139859&s=apparel&sr=1-10,3.6,159,294,1099
Chromozome Men Mens Tshirts,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/71X7pa5hBTL._AC_UL320_.jpg,https://www.amazon.in/Chromozome-Regular-T-Shirt-OS-10_White-Grey_L/dp/B07CQMYL95/ref=sr_1_11?qid=1679139859&s=apparel&sr=1-11,3.9,15479,399,915
London Hills Solid Men Half Sleeve Pure Cotton Round Neck T-Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/71tJWaahoDL._AC_UL320_.jpg,https://www.amazon.in/London-Hills-Solid-Sleeve-T-Shirt/dp/B07FLC3ZN3/ref=sr_1_12?qid=1679139859&s=apparel&sr=1-12,3.8,932,199,1299
Amazon Brand - Symbol Men's Regular Fit T-Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/71xpdVWXoQL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Regular-T-Shirt-SS20SYMTEE33-A_Green/dp/B081VM9PVL/ref=sr_1_13?qid=1679139859&s=apparel&sr=1-13,3.9,2897,199,699
Adidas Men's Regular Polo Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/714emthUQuL._AC_UL320_.jpg,https://www.amazon.in/Adidas-Regular-Mens-Shirts-GR1303_Black/dp/B08X7Z2Q7F/ref=sr_1_14?qid=1679139859&s=apparel&sr=1-14,3.9,743,629,1799
